"phi","psi","eta"
"0.001319","0.151629031181179","0.506011"
"0.001365","0.151465152673237","0.509146"
"0.001419","0.151261414405367","0.512866"
"0.0015","0.151068259135104","0.517622"
"0.001588","0.150752057963734","0.523749"
"0.001673","0.150454818210311","0.529577"
"0.001771","0.150112066684432","0.53609"
"0.002801","0.148117566214975","0.601428"
"0.002879","0.14807783645788","0.60616"
"0.00439","0.148851749267765","0.696468"
"0.004639","0.148794270951417","0.70692"
"0.004741","0.148741423025504","0.711016"
"0.004846","0.148642366796328","0.714933"
"0.004978","0.14848272483673","0.719574"
"0.005113","0.148278419394026","0.724039"
"0.005801","0.146351701863823","0.740116"
"0.005802","0.146327904282437","0.739966"
"0.005811","0.146336167104737","0.740469"
"0.005831","0.146283233623935","0.741007"
"0.00586","0.146197725276943","0.741688"
"0.005897","0.14607971433655","0.742492"
"0.00594","0.145932840352592","0.743379"
"0.00599","0.14575762999283","0.744322"
"0.006044","0.145556342601154","0.745291"
"0.0065","0.143322695137208","0.749242"
"0.006501","0.143301241155467","0.749067"
"0.006507","0.143307514370549","0.749457"
"0.006509","0.143236877944356","0.748941"
"0.00652","0.143256451148607","0.749708"
"0.006526","0.143127142461542","0.748857"
"0.00654","0.143171242101533","0.749988"
"0.006564","0.143056334364688","0.750288"
"0.006594","0.142912945028414","0.750599"
"0.006628","0.142742649859358","0.750909"
"0.007008","0.140348763958401","0.750477"
"0.007009","0.140327895902704","0.750299"
"0.007014","0.140335089601761","0.750638"
"0.007015","0.140267187166344","0.750101"
"0.007024","0.140286737779146","0.750779"
"0.007027","0.140165795644209","0.74988"
"0.007039","0.140204948195704","0.750896"
"0.007046","0.140016993152039","0.749626"
"0.007058","0.140097106402768","0.750997"
"0.007072","0.139820727300503","0.749335"
"0.007081","0.139958449762927","0.751068"
"0.007418","0.137462539732365","0.7480085"
"0.007423","0.137427047275503","0.747957"
"0.007431","0.13741176133716","0.748305"
"0.007433","0.137298972405327","0.7474"
"0.007443","0.137337426476663","0.748347"
"0.007448","0.137162737016751","0.747051"
"0.007459","0.137233192941187","0.748336"
"0.007469","0.136976757909957","0.746619"
"0.007495","0.136744159354084","0.746111"
"0.007529","0.136457754745261","0.745501"
"0.007763","0.134702520774798","0.7435945"
"0.007767","0.134666829859855","0.743519"
"0.007775","0.13459886426597","0.7433785"
"0.007785","0.134580794938079","0.743815"
"0.007788","0.134417189216124","0.742521"
"0.007805","0.134246156343608","0.742023"
"0.007827","0.134028758241805","0.741417"
"0.007855","0.13376210225545","0.740698"
"0.007888","0.133443266469853","0.739854"
"0.007928","0.133056611799167","0.73883"
"0.008068","0.131998945324588","0.7377995"
"0.008071","0.131936445540073","0.73745"
"0.008072","0.131994185162987","0.737977"
"0.008078","0.131951758845408","0.737995"
"0.008079","0.13184991901426","0.737111"
"0.00809","0.13172406852314","0.736665"
"0.008105","0.131556221364252","0.73611"
"0.008125","0.131344186604252","0.735436"
"0.008149","0.131085226514795","0.734633"
"0.008179","0.130773611626767","0.733684"
"0.008214","0.13040607457784","0.732568"
"0.008254","0.129983519094255","0.731288"
"0.0083","0.129492682685699","0.729791"
"0.008343","0.129327945047382","0.730921"
"0.008344","0.129346487929442","0.731091"
"0.008346","0.129281170196176","0.730665"
"0.008347","0.129334253507768","0.731174"
"0.008352","0.129198549938914","0.730309"
"0.008362","0.129080215464871","0.729848"
"0.008375","0.128923215484717","0.729274"
"0.008392","0.128721759784608","0.728566"
"0.008413","0.128481955960076","0.727743"
"0.008439","0.128190187878839","0.726755"
"0.008469","0.127851019461766","0.725621"
"0.008504","0.127455527180583","0.7243"
"0.008544","0.126999834465406","0.722774"
"0.008589","0.126485704343485","0.721047"
"0.00859","0.126775621843259","0.723583"
"0.008592","0.126727588202218","0.723318"
"0.008597","0.126654048058216","0.722973"
"0.008606","0.126540172815789","0.722499"
"0.008617","0.126395855555482","0.721929"
"0.008632","0.12620676501406","0.721212"
"0.00864","0.125901244037276","0.719067"
"0.00865","0.125983941305343","0.720383"
"0.008673","0.125709113430014","0.719382"
"0.008696","0.125386019550837","0.717897"
"0.008699","0.125395033074052","0.718247"
"0.00873","0.124990264856985","0.716487"
"0.008768","0.124525067630251","0.71482"
"0.008783","0.124612915480249","0.716457"
"0.00879","0.124514106446672","0.716015"
"0.0088","0.124383035383296","0.715465"
"0.008811","0.124014884220106","0.712994"
"0.008813","0.124211515204709","0.714774"
"0.008829","0.124009933046081","0.71398"
"0.008848","0.12376918481125","0.713049"
"0.008896","0.123163322694141","0.71074"
"0.008899","0.122995203342294","0.70954"
"0.008909","0.123054653302952","0.710635"
"0.008926","0.122788033391952","0.709329"
"0.00896","0.122368143468645","0.707747"
"0.008995","0.12215961641946","0.708071"
"0.008998","0.121883881811422","0.705914"
"0.009006","0.122001968538344","0.707409"
"0.00902","0.121813330245348","0.706629"
"0.009037","0.121588158139188","0.705716"
"0.009041","0.121348743308282","0.703891"
"0.009057","0.121324793544997","0.704659"
"0.00908","0.121020555248639","0.703446"
"0.009088","0.120749265876075","0.701606"
"0.009107","0.120671728513166","0.702066"
"0.009138","0.120275663714332","0.700505"
"0.009172","0.119830858757103","0.698759"
"0.009197","0.11970021433208","0.69919"
"0.00921","0.119324563286876","0.69675"
"0.009212","0.119489774682516","0.6983"
"0.00923","0.119242932669657","0.69727"
"0.009252","0.118952614023007","0.696072"
"0.009253","0.11876826164636","0.694554"
"0.009276","0.118626262170624","0.694728"
"0.009299","0.118148478680824","0.692084"
"0.009303","0.11825931172256","0.693229"
"0.009334","0.117838738031895","0.691506"
"0.009368","0.117372134853487","0.689597"
"0.009392","0.117230108012045","0.689839"
"0.009406","0.116857510490152","0.687488"
"0.009411","0.116962533746277","0.688693"
"0.009432","0.116658431682238","0.687398"
"0.009449","0.116283738925007","0.685135"
"0.009457","0.11631441469305","0.685937"
"0.009485","0.115923689266706","0.684291"
"0.009494","0.115643092764813","0.682477"
"0.009516","0.115493259372091","0.682478"
