TIME,PC,THRUST,MDOT_TOTAL,C_STAR
0,100000,0,0,1600
0.05,100000,0,0,1600
0.1,100000,0,0,1600
0.15,100000,3.8857806e-12,1.110223e-15,1600
0.2,675765.18,4112.6084,1.175031,1600
0.25,1183876.2,7741.9726,2.2119922,1600
0.3,1632282.5,10944.875,3.1271072,1600
0.35,2027999.8,13771.427,3.9346934,1600
0.4,2377219,16265.85,4.6473857,1600
0.45,2685403.9,18467.171,5.2763345,1600
0.5,2957376.1,20409.829,5.8313798,1600
0.55,3197390.7,22124.22,6.3212056,1600
0.6,3409202.9,23637.164,6.7534753,1600
0.65,3596126.5,24972.332,7.134952,1600
0.7,3761086,26150.614,7.471604,1600
0.75,3906662.2,27190.444,7.7686984,1600
0.8,4035132.8,28108.091,8.0308832,1600
0.85,4148507.7,28917.912,8.2622606,1600
0.9,4248560.7,29632.576,8.4664503,1600
0.95,4336857.1,30263.265,8.6466472,1600
1,4414778.5,30819.846,8.8056703,1600
1.05,4483543.8,31311.027,8.9460078,1600
1.1,4544229,31744.493,9.0698551,1600
1.15,4597783.5,32127.025,9.17915,1600
1.2,4645045.2,32464.609,9.2756024,1600
1.25,4686753.5,32762.525,9.3607214,1600
1.3,4723560.9,33025.435,9.4358386,1600
1.35,4756043.4,33257.453,9.5021293,1600
1.4,4784709,33462.207,9.5606307,1600
1.45,4810006.4,33642.903,9.6122579,1600
1.5,4832331.2,33802.366,9.6578188,1600
1.55,4852032.8,33943.092,9.6980262,1600
1.6,4869419.4,34067.282,9.733509,1600
1.65,4884763,34176.879,9.7648225,1600
1.7,4898303.7,34273.598,9.7924566,1600
1.75,4910253.4,34358.953,9.8168436,1600
1.8,4920798.9,34434.278,9.8383651,1600
1.85,4930105.3,34500.752,9.8573577,1600
1.9,4938318.1,34559.415,9.8741186,1600
1.95,4945565.9,34611.185,9.88891,1600
2,4951962.1,34656.872,9.9019634,1600
2.05,4957606.7,34697.191,9.913483,1600
2.1,4962588,34732.772,9.9236491,1600
2.15,4966984.1,34764.172,9.9326205,1600
2.2,4970863.5,34791.882,9.9405378,1600
2.25,4974287.2,34816.337,9.9475248,1600
2.3,4977308.5,34837.918,9.9536908,1600
2.35,4979974.8,34856.963,9.9591323,1600
2.4,4982327.8,34873.77,9.9639344,1600
2.45,4984404.4,34888.603,9.9681722,1600
2.5,4986236.9,34901.692,9.9719121,1600
2.55,4987854.1,34913.244,9.9752125,1600
2.6,4989281.3,34923.438,9.9781251,1600
2.65,4990540.8,34932.434,9.9806955,1600
2.7,4991652.3,34940.373,9.9829638,1600
2.75,4992633.1,34947.38,9.9849656,1600
2.8,4993498.8,34953.563,9.9867322,1600
2.85,4994262.7,34959.019,9.9882912,1600
2.9,4994936.8,34963.835,9.989667,1600
2.95,4995531.8,34968.084,9.9908812,1600
3,4996056.8,34971.834,9.9919527,1600
