TIME,MDOT,PUMP_DP,PUMP_RPM,PUMP_PHI,PUMP_PSI,PUMP_EFFICIENCY
0,0,0,0,0.00439,0.14885175,0.696468
0.05,0.007987326,0.00038272604,1000,0.00439,0.14885175,0.696468
0.1,0.022898688,0.0018626809,2000,0.00439,0.14885175,0.696468
0.15,0.043812345,0.0050592512,3000,0.00439,0.14885175,0.696468
0.2,0.069929258,0.01050937,4000,0.00439,0.14885175,0.696468
0.25,0.10055676,0.018678491,5000,0.00439,0.14885175,0.696468
0.3,0.13509439,0.029970109,6000,0.00439,0.14885175,0.696468
0.35,0.17302162,0.044734001,7000,0.00439,0.14885175,0.696468
0.4,0.21388723,0.063273383,8000,0.00439,0.14885175,0.696468
0.45,0.25730004,0.085851107,9000,0.00439,0.14885175,0.696468
0.5,0.30292098,0.11269503,10000,0.00439,0.14885175,0.696468
0.55,0.35045609,0.14400268,11000,0.00439,0.14885175,0.696468
0.6,0.39965055,0.17994529,12000,0.00439,0.14885175,0.696468
0.65,0.45028347,0.2206713,13000,0.00439,0.14885175,0.696468
0.7,0.50216335,0.26630937,14000,0.00439,0.14885175,0.696468
0.75,0.5551242,0.31697107,15000,0.00439,0.14885175,0.696468
0.8,0.60902212,0.37275308,16000,0.00439,0.14885175,0.696468
0.85,0.66373236,0.43373923,17000,0.00439,0.14885175,0.696468
0.9,0.71914678,0.50000219,18000,0.00439,0.14885175,0.696468
0.95,0.77517165,0.57160495,19000,0.00439,0.14885175,0.696468
1,0.83172569,0.64860211,20000,0.00439,0.14885175,0.696468
1.05,0.88873846,0.73104102,21000,0.00439,0.14885175,0.696468
1.1,0.94614891,0.81896271,22000,0.00439,0.14885175,0.696468
1.15,1.0039041,0.91240275,23000,0.00439,0.14885175,0.696468
1.2,1.0619581,1.011392,24000,0.00439,0.14885175,0.696468
1.25,1.1202711,1.1159571,25000,0.00439,0.14885175,0.696468
1.3,1.1788088,1.2261214,26000,0.00439,0.14885175,0.696468
1.35,1.2375411,1.3419048,27000,0.00439,0.14885175,0.696468
1.4,1.2964421,1.4633248,28000,0.00439,0.14885175,0.696468
1.45,1.3554895,1.5903966,29000,0.00439,0.14885175,0.696468
1.5,1.4146637,1.7231331,30000,0.00439,0.14885175,0.696468
1.55,1.4739478,1.8615457,31000,0.00439,0.14885175,0.696468
1.6,1.5333272,2.0056443,32000,0.00439,0.14885175,0.696468
1.65,1.5927892,2.1554374,33000,0.00439,0.14885175,0.696468
1.7,1.6523228,2.3109323,34000,0.00439,0.14885175,0.696468
1.75,1.7119186,2.4721355,35000,0.00439,0.14885175,0.696468
1.8,1.7715681,2.6390526,36000,0.00439,0.14885175,0.696468
1.85,1.8312643,2.8116883,37000,0.00439,0.14885175,0.696468
1.9,1.8910009,2.9900469,38000,0.00439,0.14885175,0.696468
1.95,1.9507726,3.1741319,39000,0.00439,0.14885175,0.696468
2,2.0105747,3.3639464,40000,0.00439,0.14885175,0.696468
2.05,2.0624158,3.5284925,40000,0.00439,0.14885175,0.696468
2.1,2.1073558,3.6711338,40000,0.00439,0.14885175,0.696468
2.15,2.1463132,3.7947864,40000,0.00439,0.14885175,0.696468
2.2,2.1800845,3.9019781,40000,0.00439,0.14885175,0.696468
2.25,2.2093601,3.9949003,40000,0.00439,0.14885175,0.696468
2.3,2.2347385,4.0754524,40000,0.00439,0.14885175,0.696468
2.35,2.2567384,4.1452813,40000,0.00439,0.14885175,0.696468
2.4,2.2758097,4.2058144,40000,0.00439,0.14885175,0.696468
2.45,2.2923422,4.2582892,40000,0.00439,0.14885175,0.696468
2.5,2.3066738,4.3037785,40000,0.00439,0.14885175,0.696468
2.55,2.3190976,4.3432121,40000,0.00439,0.14885175,0.696468
2.6,2.3298675,4.3773963,40000,0.00439,0.14885175,0.696468
2.65,2.3392037,4.4070297,40000,0.00439,0.14885175,0.696468
2.7,2.347297,4.4327183,40000,0.00439,0.14885175,0.696468
2.75,2.354313,4.4549872,40000,0.00439,0.14885175,0.696468
2.8,2.3603949,4.4742916,40000,0.00439,0.14885175,0.696468
2.85,2.3656672,4.4910262,40000,0.00439,0.14885175,0.696468
2.9,2.3702377,4.505533,40000,0.00439,0.14885175,0.696468
2.95,2.3741997,4.5181087,40000,0.00439,0.14885175,0.696468
3,2.3776343,4.5290102,40000,0.00439,0.14885175,0.696468
3.05,2.3806117,4.5384605,40000,0.00439,0.14885175,0.696468
3.1,2.3831927,4.5466528,40000,0.00439,0.14885175,0.696468
3.15,2.3854301,4.5537545,40000,0.00439,0.14885175,0.696468
3.2,2.3873697,4.5599108,40000,0.00439,0.14885175,0.696468
3.25,2.3890511,4.5652475,40000,0.00439,0.14885175,0.696468
3.3,2.3905086,4.5698739,40000,0.00439,0.14885175,0.696468
3.35,2.3917721,4.5738843,40000,0.00439,0.14885175,0.696468
3.4,2.3928674,4.5773609,40000,0.00439,0.14885175,0.696468
3.45,2.3938169,4.5803747,40000,0.00439,0.14885175,0.696468
3.5,2.39464,4.5829872,40000,0.00439,0.14885175,0.696468
3.55,2.3953536,4.585252,40000,0.00439,0.14885175,0.696468
3.6,2.3959721,4.5872153,40000,0.00439,0.14885175,0.696468
3.65,2.3965083,4.5889172,40000,0.00439,0.14885175,0.696468
3.7,2.3969731,4.5903926,40000,0.00439,0.14885175,0.696468
3.75,2.3973761,4.5916715,40000,0.00439,0.14885175,0.696468
3.8,2.3977254,4.5927802,40000,0.00439,0.14885175,0.696468
3.85,2.3980282,4.5937413,40000,0.00439,0.14885175,0.696468
3.9,2.3982907,4.5945745,40000,0.00439,0.14885175,0.696468
3.95,2.3985182,4.5952968,40000,0.00439,0.14885175,0.696468
4,2.3987155,4.5959229,40000,0.00439,0.14885175,0.696468
4.05,2.3988865,4.5964656,40000,0.00439,0.14885175,0.696468
4.1,2.3990347,4.5969361,40000,0.00439,0.14885175,0.696468
4.15,2.3991632,4.597344,40000,0.00439,0.14885175,0.696468
4.2,2.3992746,4.5976976,40000,0.00439,0.14885175,0.696468
4.25,2.3993712,4.5980041,40000,0.00439,0.14885175,0.696468
4.3,2.3994549,4.5982698,40000,0.00439,0.14885175,0.696468
4.35,2.3995275,4.5985001,40000,0.00439,0.14885175,0.696468
4.4,2.3995904,4.5986998,40000,0.00439,0.14885175,0.696468
4.45,2.3996449,4.5988729,40000,0.00439,0.14885175,0.696468
4.5,2.3996922,4.5990229,40000,0.00439,0.14885175,0.696468
4.55,2.3997331,4.599153,40000,0.00439,0.14885175,0.696468
4.6,2.3997687,4.5992657,40000,0.00439,0.14885175,0.696468
4.65,2.3997995,4.5993635,40000,0.00439,0.14885175,0.696468
4.7,2.3998262,4.5994482,40000,0.00439,0.14885175,0.696468
4.75,2.3998493,4.5995217,40000,0.00439,0.14885175,0.696468
4.8,2.3998694,4.5995854,40000,0.00439,0.14885175,0.696468
4.85,2.3998868,4.5996405,40000,0.00439,0.14885175,0.696468
4.9,2.3999018,4.5996884,40000,0.00439,0.14885175,0.696468
4.95,2.3999149,4.5997299,40000,0.00439,0.14885175,0.696468
5,2.3999262,4.5997658,40000,0.00439,0.14885175,0.696468
5.05,2.399936,4.599797,40000,0.00439,0.14885175,0.696468
5.1,2.3999446,4.599824,40000,0.00439,0.14885175,0.696468
5.15,2.3999519,4.5998475,40000,0.00439,0.14885175,0.696468
5.2,2.3999583,4.5998678,40000,0.00439,0.14885175,0.696468
5.25,2.3999639,4.5998854,40000,0.00439,0.14885175,0.696468
5.3,2.3999687,4.5999006,40000,0.00439,0.14885175,0.696468
5.35,2.3999729,4.5999139,40000,0.00439,0.14885175,0.696468
5.4,2.3999765,4.5999253,40000,0.00439,0.14885175,0.696468
5.45,2.3999796,4.5999353,40000,0.00439,0.14885175,0.696468
5.5,2.3999823,4.5999439,40000,0.00439,0.14885175,0.696468
5.55,2.3999847,4.5999514,40000,0.00439,0.14885175,0.696468
5.6,2.3999867,4.5999578,40000,0.00439,0.14885175,0.696468
5.65,2.3999885,4.5999634,40000,0.00439,0.14885175,0.696468
5.7,2.39999,4.5999683,40000,0.00439,0.14885175,0.696468
5.75,2.3999913,4.5999725,40000,0.00439,0.14885175,0.696468
5.8,2.3999925,4.5999762,40000,0.00439,0.14885175,0.696468
5.85,2.3999935,4.5999794,40000,0.00439,0.14885175,0.696468
5.9,2.3999944,4.5999821,40000,0.00439,0.14885175,0.696468
5.95,2.3999951,4.5999845,40000,0.00439,0.14885175,0.696468
6,2.3999958,4.5999866,40000,0.00439,0.14885175,0.696468
6.05,2.3999963,4.5999883,40000,0.00439,0.14885175,0.696468
6.1,2.3999968,4.5999899,40000,0.00439,0.14885175,0.696468
6.15,2.3999972,4.5999912,40000,0.00439,0.14885175,0.696468
6.2,2.3999976,4.5999924,40000,0.00439,0.14885175,0.696468
6.25,2.3999979,4.5999934,40000,0.00439,0.14885175,0.696468
6.3,2.3999982,4.5999943,40000,0.00439,0.14885175,0.696468
6.35,2.3999984,4.5999951,40000,0.00439,0.14885175,0.696468
6.4,2.3999986,4.5999957,40000,0.00439,0.14885175,0.696468
6.45,2.3999988,4.5999963,40000,0.00439,0.14885175,0.696468
6.5,2.399999,4.5999968,40000,0.00439,0.14885175,0.696468
6.55,2.3999991,4.5999972,40000,0.00439,0.14885175,0.696468
6.6,2.3999992,4.5999976,40000,0.00439,0.14885175,0.696468
6.65,2.3999993,4.5999979,40000,0.00439,0.14885175,0.696468
6.7,2.3999994,4.5999982,40000,0.00439,0.14885175,0.696468
6.75,2.3999995,4.5999984,40000,0.00439,0.14885175,0.696468
6.8,2.3999996,4.5999986,40000,0.00439,0.14885175,0.696468
6.85,2.3999996,4.5999988,40000,0.00439,0.14885175,0.696468
6.9,2.3999997,4.599999,40000,0.00439,0.14885175,0.696468
6.95,2.3999997,4.5999991,40000,0.00439,0.14885175,0.696468
7,2.3999998,4.5999992,40000,0.00439,0.14885175,0.696468
7.05,2.3999998,4.5999993,40000,0.00439,0.14885175,0.696468
7.1,2.3999998,4.5999994,40000,0.00439,0.14885175,0.696468
7.15,2.3999998,4.5999995,40000,0.00439,0.14885175,0.696468
7.2,2.3999999,4.5999996,40000,0.00439,0.14885175,0.696468
7.25,2.3999999,4.5999996,40000,0.00439,0.14885175,0.696468
7.3,2.3999999,4.5999997,40000,0.00439,0.14885175,0.696468
7.35,2.3999999,4.5999997,40000,0.00439,0.14885175,0.696468
7.4,2.3999999,4.5999998,40000,0.00439,0.14885175,0.696468
7.45,2.3999999,4.5999998,40000,0.00439,0.14885175,0.696468
7.5,2.3999999,4.5999998,40000,0.00439,0.14885175,0.696468
7.55,2.3999999,4.5999998,40000,0.00439,0.14885175,0.696468
7.6,2.4,4.5999999,40000,0.00439,0.14885175,0.696468
7.65,2.4,4.5999999,40000,0.00439,0.14885175,0.696468
7.7,2.4,4.5999999,40000,0.00439,0.14885175,0.696468
7.75,2.4,4.5999999,40000,0.00439,0.14885175,0.696468
7.8,2.4,4.5999999,40000,0.00439,0.14885175,0.696468
7.85,2.4,4.5999999,40000,0.00439,0.14885175,0.696468
7.9,2.4,4.5999999,40000,0.00439,0.14885175,0.696468
7.95,2.4,4.5999999,40000,0.00439,0.14885175,0.696468
8,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.05,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.1,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.15,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.2,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.25,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.3,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.35,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.4,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.45,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.5,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.55,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.6,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.65,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.7,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.75,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.8,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.85,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.9,2.4,4.6,40000,0.00439,0.14885175,0.696468
8.95,2.4,4.6,40000,0.00439,0.14885175,0.696468
9,2.4,4.6,40000,0.00439,0.14885175,0.696468
9.05,2.3840253,4.5402947,38000,0.00439,0.14885175,0.696468
9.1,2.3542026,4.4318941,36000,0.00439,0.14885175,0.696468
9.15,2.3123753,4.2843424,34000,0.00439,0.14885175,0.696468
9.2,2.2601415,4.1059132,32000,0.00439,0.14885175,0.696468
9.25,2.1988865,3.9037788,30000,0.00439,0.14885175,0.696468
9.3,2.1298112,3.6841568,28000,0.00439,0.14885175,0.696468
9.35,2.0539568,3.4524369,26000,0.00439,0.14885175,0.696468
9.4,1.9722255,3.2132915,24000,0.00439,0.14885175,0.696468
9.45,1.8853999,2.9707707,22000,0.00439,0.14885175,0.696468
9.5,1.794158,2.7283859,20000,0.00439,0.14885175,0.696468
9.55,1.6990878,2.4891807,18000,0.00439,0.14885175,0.696468
9.6,1.6006989,2.2557936,16000,0.00439,0.14885175,0.696468
9.65,1.4994331,2.0305119,14000,0.00439,0.14885175,0.696468
9.7,1.3956733,1.8153185,12000,0.00439,0.14885175,0.696468
9.75,1.2897516,1.6119321,10000,0.00439,0.14885175,0.696468
9.8,1.1819558,1.4218427,8000,0.00439,0.14885175,0.696468
9.85,1.0725353,1.2463422,6000,0.00439,0.14885175,0.696468
9.9,0.96170644,1.0865501,4000,0.00439,0.14885175,0.696468
9.95,0.84965671,0.94343719,2000,0.00439,0.14885175,0.696468
10,0.73654862,0.81784485,0,0.00439,0.14885175,0.696468
