TIME,VALVE_POSITION,MDOT
0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
0.55,0.0625,0.26692696
0.6,0.125,0.53385391
0.65,0.1875,0.80078087
0.7,0.25,1.0677078
0.75,0.3125,1.3346348
0.8,0.375,1.6015617
0.85,0.4375,1.8684887
0.9,0.5,2.1354157
0.95,0.5625,2.4023426
1,0.625,2.6692696
1.05,0.6875,2.9361965
1.1,0.75,3.2031235
1.15,0.8125,3.4700504
1.2,0.875,3.7369774
1.25,0.9375,4.0039043
1.3,1,4.2708313
1.35,1,4.2708313
1.4,1,4.2708313
1.45,1,4.2708313
1.5,1,4.2708313
1.55,1,4.2708313
1.6,1,4.2708313
1.65,1,4.2708313
1.7,1,4.2708313
1.75,1,4.2708313
1.8,1,4.2708313
1.85,1,4.2708313
1.9,1,4.2708313
1.95,1,4.2708313
2,1,4.2708313
2.05,1,4.2708313
2.1,1,4.2708313
2.15,1,4.2708313
2.2,1,4.2708313
2.25,1,4.2708313
2.3,1,4.2708313
2.35,1,4.2708313
2.4,1,4.2708313
2.45,1,4.2708313
2.5,1,4.2708313
2.55,1,4.2708313
2.6,1,4.2708313
2.65,1,4.2708313
2.7,1,4.2708313
2.75,1,4.2708313
2.8,1,4.2708313
2.85,1,4.2708313
2.9,1,4.2708313
2.95,1,4.2708313
3,1,4.2708313
3.05,1,4.2708313
3.1,1,4.2708313
3.15,1,4.2708313
3.2,1,4.2708313
3.25,1,4.2708313
3.3,1,4.2708313
3.35,1,4.2708313
3.4,1,4.2708313
3.45,1,4.2708313
3.5,1,4.2708313
3.55,1,4.2708313
3.6,1,4.2708313
3.65,1,4.2708313
3.7,1,4.2708313
3.75,1,4.2708313
3.8,1,4.2708313
3.85,1,4.2708313
3.9,1,4.2708313
3.95,1,4.2708313
4,1,4.2708313
4.05,1,4.2708313
4.1,1,4.2708313
4.15,1,4.2708313
4.2,1,4.2708313
4.25,1,4.2708313
4.3,1,4.2708313
4.35,1,4.2708313
4.4,1,4.2708313
4.45,1,4.2708313
4.5,1,4.2708313
4.55,1,4.2708313
4.6,1,4.2708313
4.65,1,4.2708313
4.7,1,4.2708313
4.75,1,4.2708313
4.8,1,4.2708313
4.85,1,4.2708313
4.9,1,4.2708313
4.95,1,4.2708313
5,1,4.2708313
